Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,
1990,0.04,0.09,0,0.01,0.03,T,0,0,T,0,0,0,,,,,,,,,,,,
1991,0.04,0.09,0.13,T,T,T,0.01,T,0,0,T,0.09,,,,,,,,,,,,
1992,0.05,0.16,0.16,0.01,0,T,0.01,0,0,0.02,0,0.13,,,,,,,,,,,,
1993,0.34,0.2,0.06,0,T,0.02,T,0,T,0,0.03,0.03,,,,,,,,,,,,
1994,0.01,0.16,0.03,0.01,0,0,T,T,0,0,0.02,0.03,,,,,,,,,,,,
1995,0.41,0.02,0.18,0.02,0.02,0.02,0,0,T,0,0,0.07,,,,,,,,,,,,
1996,0.06,0.14,0.04,0.01,0,0,T,0,0,0.05,0.06,0.15,,,,,,,,,,,,
1997,0.17,0,T,T,T,0,T,T,0.01,T,0.09,0.13,,,,,,,,,,,,
1998,0.12,0.49,0.11,0.03,0.08,0,0,T,0,T,0.06,0.02,,,,,,,,,,,,
1999,0.04,0.02,0.07,0.07,T,0.02,T,0,0,0,0.01,T,,,,,,,,,,,,
2000,0.03,0.16,0.08,0.06,T,0,0,0,0,0.04,0,T,,,,,,,,,,,,
2001,0.15,0.26,0.04,0.04,0,T,T,0,0,0,0.04,0.04,,,,,,,,,,,,
2002,0.02,0.01,0.01,0,0,0,0,T,0,0,0.05,0.06,,,,,,,,,,,,
2003,T,0.14,0.05,0.02,0.03,T,0,T,0,0.02,0.03,0.04,,,,,,,,,,,,
2004,0.02,0.16,0.02,0,0,T,0,0,T,0.12,0,0.21,,,,,,,,,,,,
2005,0.22,0.25,0.03,0.03,0.01,T,T,0,0.01,0.03,0.02,0.03,,,,,,,,,,,,
2006,0.05,0.07,0.08,0.05,0.02,0,0,0,T,T,0.01,0.02,,,,,,,,,,,,
2007,0.01,0.03,0,0.01,0,T,0,T,0.02,0.02,0.02,0.05,,,,,,,,,,,,
2008,0.15,0.07,0,0,0,0,0,T,T,T,0.05,0.08,,,,,,,,,,,,
2009,0.02,0.12,0,T,T,0.01,0,0,T,0.04,0,0.07,,,,,,,,,,,,
2010,0.14,0.12,0.01,0.04,0,T,T,0,0,0.05,0.02,0.28,,,,,,,,,,,,
2011,0.03,0.05,0.13,T,0.02,0,T,0,0,0.02,0.06,0.02,,,,,,,,,,,,
2012,0.04,0,0.06,0.05,0,0,T,0,T,0,0.04,0.09,,,,,,,,,,,,
2013,0.04,0.01,0.02,0,0.01,0,0,T,0,0,0.02,0.01,,,,,,,,,,,,
2014,T,0.1,0.01,0.01,0,0,0,0,0,0.01,0.01,0.13,,,,,,,,,,,,
2015,0.04,0.01,0.02,0,0.01,0,0.01,0,0.06,0,0,0.03,,,,,,,,,,,,
2016,0.09,0.03,0.05,0.01,0.02,T,0,0,0,0.01,0.04,0.09,,,,,,,,,,,,
2017,0.24,0.14,0,0.01,0,T,0,T,0,T,0,0,,,,,,,,,,,,
2018,0.05,0,0.07,0,0,T,0,0,0,0.02,0.07,0.05,,,,,,,,,,,,
2019,0.18,0.16,0.07,0,0.02,T,0,0,T,0,0.05,0.14,,,,,,,,,,,,
2020,0.01,T,0.13,0.09,0,T,0,0,0,0,0,0.05,,,,,,,,,,,,
2021,0.06,0,0.04,T,T,T,0,0,T,0.01,0,0.27,,,,,,,,,,,,
2022,0,0,0.04,0.01,0,0,T,T,0,0.01,0.06,0.09,,,,,,,,,,,,
2023,0.21,0.16,0.24,0,0.01,0,0,0.08,0,M,M,M,,,,,,,,,,,,